sampleA,sampleB,logFC,logCPM,PValue,FDR
TRINITY_DN700242_c1_g1,AZ1,AZ2,-3.43975047075203,4.43303583994762,1.2376146688944e-05,0.00192366938446559
TRINITY_DN697366_c4_g3,AZ1,AZ2,-3.44569822882601,4.69402288381588,1.25634102261804e-05,0.00193564681765467
TRINITY_DN697360_c2_g1,AZ1,AZ2,-3.34149796181276,5.06367119054718,1.2893363244716e-05,0.00196920897417558
TRINITY_DN657122_c0_g1,AZ1,AZ2,-3.14928455168055,6.88305773412443,1.32986444617329e-05,0.00201359820108514
TRINITY_DN700235_c10_g2,AZ1,AZ2,-3.53382763526941,4.0853466778688,1.34768396336099e-05,0.00202313855833098
TRINITY_DN698072_c4_g1,AZ1,AZ2,-3.17750549199201,6.089067252425,1.36296439535524e-05,0.00202873785084911
TRINITY_DN694367_c0_g3,AZ1,AZ2,-3.38248687008874,4.78550376273124,1.46011952189477e-05,0.00215508733466888
TRINITY_DN697261_c6_g1,AZ1,AZ2,-3.40582868010888,4.402696654304,1.49582234659991e-05,0.00218877546673083
TRINITY_DN700591_c5_g2,AZ1,AZ2,-3.44712290754626,4.23992140134589,1.5078674076203e-05,0.00218877546673083
TRINITY_DN699259_c1_g1,AZ1,AZ2,3.09931329732635,7.13032161799153,1.58590548663984e-05,0.00228318393174936
TRINITY_DN698145_c3_g4,AZ1,AZ2,-3.32536787895788,4.93139755149054,1.62218237124249e-05,0.00231642367223602
TRINITY_DN699216_c2_g1,AZ1,AZ2,-3.38856392072873,4.38728382705809,1.6466704664499e-05,0.00233242903812307
TRINITY_DN677483_c0_g1,AZ1,AZ2,-3.06415799710437,7.57172477340949,1.76286661821694e-05,0.00247703914258899
TRINITY_DN697128_c6_g1,AZ1,AZ2,-3.31612820921844,4.86041233565551,1.78252024510724e-05,0.00248477663373521
TRINITY_DN698617_c4_g1,AZ1,AZ2,-3.37430834254201,4.63000399761988,1.87380176350985e-05,0.00259145308458952
TRINITY_DN700253_c2_g1,AZ1,AZ2,-3.43081278445814,4.11409049277613,1.9559113336475e-05,0.00268387708313943
TRINITY_DN700011_c2_g1,AZ1,AZ2,-3.28931785128654,4.89917497559529,1.98495130179614e-05,0.00268789946722887
TRINITY_DN698905_c1_g2,AZ1,AZ2,-3.08861323456499,6.45848519768286,1.99426080652011e-05,0.00268789946722887
TRINITY_DN700368_c11_g1,AZ1,AZ2,-3.0535269312105,7.12642226909842,2.01354373709024e-05,0.00268789946722887
TRINITY_DN700213_c1_g4,AZ1,AZ2,-3.30998083749358,4.49244447417438,2.02005653424169e-05,0.00268789946722887
TRINITY_DN699062_c6_g2,AZ1,AZ2,-3.36025883665603,4.26577308842707,2.09458155159642e-05,0.00276610754678493
TRINITY_DN672452_c0_g1,AZ1,AZ2,-3.44578279964519,4.00680128735381,2.18780737040984e-05,0.00286766034730436
TRINITY_DN700661_c3_g2,AZ1,AZ2,-3.35074410075977,4.25731823017565,2.20668985394683e-05,0.00287098522923868
TRINITY_DN695934_c2_g1,AZ1,AZ2,-2.99421288729137,7.75494131076344,2.52566281206943e-05,0.00326181923758732
TRINITY_DN700253_c2_g2,AZ1,AZ2,-3.41132956314962,3.97620457111736,2.63972736917867e-05,0.00338424609578498
TRINITY_DN700276_c0_g1,AZ1,AZ2,-3.2992010728374,4.56300561303535,2.7226608061035e-05,0.0034652764056813
TRINITY_DN698454_c0_g2,AZ1,AZ2,-3.26653331857435,4.68196772192709,2.78159604240013e-05,0.00351481675458388
TRINITY_DN698981_c0_g1,AZ1,AZ2,-3.37603337148035,3.94494274003391,3.19617778673954e-05,0.0040098333318781
TRINITY_DN685830_c5_g1,AZ1,AZ2,-2.95123292369336,7.59177125852014,3.30891885151321e-05,0.00412183338354454
TRINITY_DN700276_c0_g2,AZ1,AZ2,-3.27227904939821,4.18782891569388,3.38191182323099e-05,0.0041830914974105
TRINITY_DN694466_c2_g4,AZ1,AZ2,2.94620984596516,7.02717277119604,3.66680719100785e-05,0.00450376234285748
TRINITY_DN698278_c0_g1,AZ1,AZ2,-3.33985193932226,3.91298616962354,3.88401002773873e-05,0.00473741334216687
TRINITY_DN698838_c0_g1,AZ1,AZ2,-3.10722186357797,4.91068103346042,4.30485304422005e-05,0.00519331792587266
TRINITY_DN694466_c2_g5,AZ1,AZ2,3.01235777797466,5.53235046327681,4.31692334990553e-05,0.00519331792587266
TRINITY_DN698309_c2_g1,AZ1,AZ2,-2.96980308314102,5.74615256194378,4.59428961317286e-05,0.00548939474597062
TRINITY_DN694130_c6_g2,AZ1,AZ2,-3.17357458576066,4.19704563775203,5.05165240809095e-05,0.00599508262808848
TRINITY_DN538751_c0_g1,AZ1,AZ2,3.0619596952389,4.62231081642008,5.55446803844072e-05,0.00654756218974314
TRINITY_DN698947_c0_g1,AZ1,AZ2,-3.04690090207925,4.91090928161756,5.64679048018984e-05,0.00661201519960362
TRINITY_DN697981_c2_g5,AZ1,AZ2,-3.03698886502313,4.95359820247672,5.84269246667019e-05,0.00679609605858247
TRINITY_DN692142_c8_g3,AZ1,AZ2,2.88568195189249,6.0731155691429,6.1573141151423e-05,0.00710836533466673
TRINITY_DN693225_c2_g2,AZ1,AZ2,-2.9772327994314,5.21718706730712,6.1920968811433e-05,0.00710836533466673
TRINITY_DN698374_c1_g1,AZ1,AZ2,-2.82505698454488,7.465445720843,6.53847139726115e-05,0.00745725400139577
TRINITY_DN699617_c1_g5,AZ1,AZ2,-3.1012128417713,4.22367259502745,6.62313495552308e-05,0.00750508015218112
TRINITY_DN693253_c8_g2,AZ1,AZ2,-2.8314880877345,6.57344328899085,7.03107442367954e-05,0.00791626866522484
TRINITY_DN691914_c2_g2,AZ1,AZ2,3.01773342866093,4.45515508365715,7.50238049584873e-05,0.0083931089827444
TRINITY_DN698156_c0_g1,AZ1,AZ2,-3.00208466382285,4.76305024528527,8.04099552120359e-05,0.00889982955231472
TRINITY_DN690527_c1_g1,AZ1,AZ2,-3.16594236164153,3.88071226204089,8.10733732845795e-05,0.00889982955231472
TRINITY_DN700625_c0_g1,AZ1,AZ2,-3.16594236164153,3.88071226204089,8.10733732845795e-05,0.00889982955231472
TRINITY_DN699901_c2_g1,AZ1,AZ2,-3.07579994855347,4.44172397011787,8.20872930284498e-05,0.00894956545470376
TRINITY_DN699677_c2_g1,AZ1,AZ2,-3.02679911538639,4.60467202869024,8.28539669300719e-05,0.00894956545470376
TRINITY_DN695125_c4_g6,AZ1,AZ2,-3.09230888452591,4.38044864370499,8.30550654245452e-05,0.00894956545470376
TRINITY_DN699922_c8_g6,AZ1,AZ2,-3.06724443367608,4.43424319841174,8.58899408792396e-05,0.00919860318050588
TRINITY_DN698901_c2_g1,AZ1,AZ2,-3.0833828337119,4.3726418694963,8.70707518064796e-05,0.00926854960441823
TRINITY_DN699259_c1_g4,AZ1,AZ2,-3.06908268107672,4.10578119717667,8.78105180146487e-05,0.00929098758077885
TRINITY_DN692504_c0_g1,AZ1,AZ2,-2.89012048160474,5.14116411148667,9.61087485987077e-05,0.0101081081460341
TRINITY_DN680002_c1_g1,AZ1,AZ2,-2.80734386643317,5.81210887434015,9.7385113103988e-05,0.010181381705705
TRINITY_DN699182_c14_g3,AZ1,AZ2,-3.0362000660487,4.07723307564763,0.000104268732997101,0.0108365445346809
TRINITY_DN699084_c0_g2,AZ1,AZ2,-2.83212832968081,5.38303722119056,0.000109756845036188,0.0113398189777389
TRINITY_DN696531_c0_g1,AZ1,AZ2,-3.02507050825408,4.06758969354398,0.000110484200374789,0.0113482134232912
TRINITY_DN700691_c16_g3,AZ1,AZ2,-2.98258124768002,4.500791243219,0.000112858464184647,0.0115246864240648
TRINITY_DN698842_c4_g2,AZ1,AZ2,-2.99370419268642,4.44202442148869,0.000115586809809218,0.0117350677889543
TRINITY_DN697536_c3_g1,AZ1,AZ2,-3.11568344943934,3.71711411282555,0.000117476783155482,0.0118277649398602
TRINITY_DN698054_c1_g1,AZ1,AZ2,-2.97431969126311,4.49361153188122,0.000117846667301044,0.0118277649398602
TRINITY_DN696694_c4_g4,AZ1,AZ2,-3.03150549411137,3.9773705610513,0.000120964495751252,0.0120717068373579
TRINITY_DN692781_c18_g1,AZ1,AZ2,-3.0099137174672,4.30861426791836,0.000128046324175604,0.0127062465413577
TRINITY_DN695290_c11_g1,AZ1,AZ2,-2.95347929716781,4.1799463592324,0.000129775388372331,0.0127886678689266
TRINITY_DN689723_c13_g1,AZ1,AZ2,-3.06109490350354,3.78976104678762,0.000130333155803795,0.0127886678689266
TRINITY_DN698066_c6_g1,AZ1,AZ2,-2.96041370923428,4.34130232330534,0.000150271407337291,0.0146631499915122
TRINITY_DN699932_c2_g1,AZ1,AZ2,-2.87352407748867,4.65137454598253,0.000152236684503563,0.0147728460034287
TRINITY_DN686126_c3_g3,AZ1,AZ2,-2.69626585501095,6.20380639778703,0.000156100029683154,0.0150645105568952
TRINITY_DN700475_c3_g1,AZ1,AZ2,-2.9113931450786,4.14369498060291,0.000161183411940636,0.0154700844116138
TRINITY_DN690498_c5_g1,AZ1,AZ2,-2.95224743707347,4.25865140313069,0.000164169278890821,0.015671028339339
TRINITY_DN700325_c3_g1,AZ1,AZ2,-2.71329639875082,5.84693619365495,0.00016716629347823,0.0158708582629818
TRINITY_DN692617_c1_g1,AZ1,AZ2,-2.79212305857491,4.88464516175279,0.00018047610807356,0.0170423782914194
TRINITY_DN700011_c2_g3,AZ1,AZ2,-2.9325014928225,4.24160390674972,0.000181631512902021,0.0170597641316102
TRINITY_DN698603_c2_g1,AZ1,AZ2,-2.99147206140962,3.72984777918888,0.000185484780941013,0.0172373264150686
TRINITY_DN700657_c9_g1,AZ1,AZ2,-2.99147206140962,3.72984777918888,0.000185484780941013,0.0172373264150686
TRINITY_DN695355_c2_g1,AZ1,AZ2,-2.96026539568533,3.81346782776399,0.000186850399094023,0.0172728442615127
TRINITY_DN697568_c2_g1,AZ1,AZ2,-3.01219678290007,3.62799986118196,0.000198398975702781,0.0182443958599144
TRINITY_DN697965_c2_g3,AZ1,AZ2,-2.78064639047212,4.82846254490735,0.000199525134328797,0.018252393017453
TRINITY_DN697150_c9_g1,AZ1,AZ2,-2.84013943920149,4.16228640719185,0.000212242850045775,0.0193151990580518
