sampleA,sampleB,logFC,logCPM,PValue,FDR
TRINITY_DN670900_c1_g2_i1,AZ1,AZ3,-3.58290173279163,3.70921246567034,1.26658432670522e-05,0.00206880702203861
TRINITY_DN686120_c20_g1_i1,AZ1,AZ3,-3.2908364158277,4.9789299866553,1.26872330990065e-05,0.00206880702203861
TRINITY_DN697973_c4_g1_i5,AZ1,AZ3,-3.43596494122424,4.35891299312271,1.36000943446714e-05,0.00220397084463369
TRINITY_DN665633_c0_g1_i1,AZ1,AZ3,3.16200160426624,6.23881344272251,1.50562533851668e-05,0.00242498049153856
TRINITY_DN695336_c4_g1_i1,AZ1,AZ3,-3.52386442095613,4.00029352052169,1.5179778944541e-05,0.0024299679062868
TRINITY_DN686914_c11_g1_i11,AZ1,AZ3,-3.34625506402204,4.6138796317881,1.53132478745788e-05,0.00243598235074215
TRINITY_DN693756_c12_g1_i4,AZ1,AZ3,-3.41387375981074,4.26085204532618,1.54029280548203e-05,0.00243598235074215
TRINITY_DN699132_c0_g2_i4,AZ1,AZ3,-3.41323271102194,4.1780148554876,1.59040864292381e-05,0.00250017952710652
TRINITY_DN693280_c0_g1_i2,AZ1,AZ3,-3.51649210707164,3.88726711135929,1.67502839855484e-05,0.00261753098495596
TRINITY_DN651984_c1_g1_i1,AZ1,AZ3,-3.39080835090976,4.23980713088352,1.7047358726899e-05,0.00264819117548686
TRINITY_DN684491_c15_g2_i2,AZ1,AZ3,-3.48248356372296,3.96237564949802,1.81939917705158e-05,0.00280968744677266
TRINITY_DN684342_c9_g3_i2,AZ1,AZ3,-3.1909827486989,5.13689544659018,1.95107145159009e-05,0.00299540811804646
TRINITY_DN700751_c26_g1_i9,AZ1,AZ3,-3.23907389294612,4.6866200892833,2.04351693152538e-05,0.00311909593042649
TRINITY_DN607019_c0_g1_i1,AZ1,AZ3,3.04721215700691,7.37191119043564,2.08162755401914e-05,0.00315889989454709
TRINITY_DN689144_c16_g2_i3,AZ1,AZ3,-3.05571236405001,6.61616496323222,2.10636888960596e-05,0.00317807485395547
TRINITY_DN680617_c2_g2_i1,AZ1,AZ3,-3.23658950913145,4.78755531300209,2.12455712769511e-05,0.00318719990133598
TRINITY_DN691382_c13_g1_i1,AZ1,AZ3,-3.47547304558731,3.73523779791619,2.15674521014317e-05,0.00319892836168862
TRINITY_DN680873_c0_g1_i1,AZ1,AZ3,-3.47547304558731,3.73523779791619,2.15674521014317e-05,0.00319892836168862
TRINITY_DN700714_c0_g3_i2,AZ1,AZ3,3.10835537291637,6.02094970067193,2.2722041704501e-05,0.00335124584757452
TRINITY_DN697283_c9_g8_i1,AZ1,AZ3,-3.26026374332461,4.34329418172635,2.31738332676529e-05,0.0033897853225577
TRINITY_DN693429_c12_g1_i17,AZ1,AZ3,-3.45643285036098,3.83237506881777,2.32415860305636e-05,0.0033897853225577
TRINITY_DN700751_c25_g2_i14,AZ1,AZ3,-2.99850291881617,7.27525553049773,2.54537411561528e-05,0.00369191749487558
TRINITY_DN697261_c6_g3_i4,AZ1,AZ3,3.0015077096262,7.51269413972177,2.5900755175465e-05,0.00373611277814001
TRINITY_DN694585_c1_g1_i6,AZ1,AZ3,-2.98703811260622,7.75536844142186,2.61169763963228e-05,0.00374671574498722
TRINITY_DN671529_c1_g3_i1,AZ1,AZ3,-3.24531149935675,4.46090686117272,2.63054433172352e-05,0.00375324349677921
TRINITY_DN741983_c0_g1_i1,AZ1,AZ3,-3.44390444904336,3.58236210136858,2.68588793030367e-05,0.00381149274779796
TRINITY_DN697730_c4_g1_i2,AZ1,AZ3,-3.40968850042526,3.78983549251619,2.84347443228069e-05,0.00401342657369166
